Ten_Sach;SKU;The_Loai;Gia;Ten_NCC;Ten_NXB;Nam_XB;Ten_Tac_Gia;Trong_Luong;Kich_Thuoc;So_Trang;Hinh_Thuc;Mo_Ta
Hương Rừng Cà Mau (Bản In Năm 1962) - Bìa Cứng;SKU: 8934974182993;Loại sản phẩm: sách;445,500₫;;NXB Trẻ;2022;Sơn Nam;1200;20 x 14 cm;928;Bìa Cứng;Thấm thoát đã tròn 60 năm từ khi tác phẩm Hương Rừng Cà Mau của nhà văn Sơn Nam lần đầu ra mắt thật giản dị, mộc mạc, nhỏ gọn và xinh xẻo mà chẳng ngờ đã mang theo cả cái “hương rừng có ma lực quyến rũ” bạn đọc “lúc mới” “thì vui”, “ở lâu” “sanh buồn” mà “xa cách lâu ngày đâm ra nhớ không nguôi, không trở lại không được”. Đó là hương vị đặc sắc của một vùng đất U Minh “Chướng khí mù như sương” “Muỗi, vắt nhiều hơn cỏ” khiến người đọc không chỉ ngửi mà còn có thể thấy và nghe tràn ngập trên từng trang sách. Đó là những dị nhân mang nhiều nét khác thường độc đáo. Ẩn sau vẻ ngoài thô ráp, tầm thường là trí tuệ dân gian, là lối sống minh triết, hài hòa hợp lẽ tự nhiên. “Thấy bầy vịt của ai đó lội trên sông, cứ bắt một con mà ăn thịt... Gặp ai yêu mình, mình cứ yêu trở lại, muốn kết nghĩa vợ chồng thì hãy tùy hoàn cảnh. Gặp ai rao giảng đạo lý nào thì cũng nghe... thấy có tinh thần từ bi bác ái, làm lành tránh dữ là được”. Cuộc sống thời khai hoang, mở đất được miêu tả trong dòng chảy hồn nhiên như vậy, ở đó mọi sự va chạm dường như đều có khả năng hóa giải cho nhau. Mỗi chi tiết, địa danh đều lưu dấu thời gian, nếp sinh hoạt, tập quán của một lớp lưu dân ngang tàng, hiệp nghĩa.
Có Hai Con Mèo Ngồi Bên Cửa Số - Phiên Bản Đặc Biệt - Nguyễn Nhật Ánh;SKU: 8934974178378;Loại sản phẩm: SÁCH;432,000₫;;NXB Trẻ;2022;Nguyễn Nhật Ánh;220;24 x 19 cm;216;Bìa Cứng;CÓ HAI CON MÈO NGỒI BÊN CỬA SỔ là tác phẩm đầu tiên của nhà văn Nguyễn Nhật Ánh viết theo thể loại đồng thoại. Đặc biệt hơn nữa là viết về tình bạn của hai loài vốn là thù địch của nhau mèo và chuột. Đó là tình bạn giữa mèo Gấu và chuột Tí Hon. Để biết tại sao mèo Gấu lại chơi thân với chuột Tí Hon, thì mời bạn hãy mở sách ra. Cuốn truyện mỏng mảnh vừa phải, hình vẽ của họa sĩ Hoàng Tường sinh động đến từng nét nũng nịu hay kiêu căng của nàng mèo người yêu mèo Gấu, câu chuyện thì hấp dẫn duyên dáng điểm những bài thơ tình lãng mạn nao lòng song đọc to lên thì khiến cười hinh hích… Bạn hãy đọc nhé, để thấy, Nguyễn Nhật Ánh đã viết truyện đồng thoại theo cái cách của riêng mình độc đáo như thế nào.
Combo Sách Đời Thay Đổi Khi Chúng Ta Thay Đổi - Bộ 7 Cuốn;SKU: 8934974177098;Loại sản phẩm: Sách;463,500₫;;NXB Trẻ;2018;Andrew Matthews;500;14 x 20;;Bìa Mềm;Bộ sách Đời Thay Đổi Khi Chúng Ta Thay Đổi của tác giả Andrew Matthews đã bán được hàng triệu bản - bằng 33 thứ tiếng và ở 60 quốc gia. Andrew Matthews còn là một diễn giả được yêu chuộng trên khắp thế giới. Trong khi diễn thuyết ông còn vẽ cả tranh minh họa nữa! Chỉ với một cách nhìn nhận khác hẳn mà cuộc đời một người thay đổi: từ chỗ bi quan, tưởng chừng mọi thứ đã kết thúc, sang chỗ lạc quan, có thể sẵn sàng bắt tay làm lại từ đầu… Sự việc thì vẫn thế, chỉ có cách nhìn của chúng ta là thay đổi và thế là cuộc đời cũng thay đổi theo… Trong cuốn sách này bạn sẽ học cách để nhìn nhận cuộc đời, chấp nhận cuộc đời và thay đổi cuộc đời để là người hạnh phúc và thành đạt!
Nguyễn Nhật Ánh - Tôi Là Bêtô - Phiên Bản Đặc Biệt - Có Minh Họa;SKU: 8934974174516;Loại sản phẩm: Sách;229,500₫;;NXB Trẻ;2021;Nguyễn Nhật Ánh;200;24 x 19 cm;196;Bìa Cứng;Truyện Tôi là Bêtô là sáng tác của nhà văn Nguyễn Nhật Ánh được viết theo phong cách hoàn toàn khác so với những tác phẩm trước đây của ông. Những mẩu chuyện, hay những phát hiện của chú chó Bêtô đầy thú vị, vừa hài hước, vừa chiêm nghiệm một cách nhẹ nhàng “vô vàn những điều thú vị mà cuộc sống cố tình giấu kín ở ngóc ngách nào đó trong tâm hồn của mỗi chúng ta”. Tác phẩm Tôi là Bêtô cũng vừa được dịch và sẽ xuất bản tại Hàn Quốc vào năm 2022. Đây là tác phẩm thứ hai của nhà văn Nguyễn Nhật Ánh được xuất bản tại Hàn Quốc sau tác phẩm đẩu tiên “Cho tôi xin một vé đi tuổi thơ” do NXB Dasan Books ấn hành bản tiếng Hàn năm 2013. Phiên bản đặc biệt này được in màu hoàn toàn với những tranh minh họa mới của họa sĩ Đỗ Hoàng Tường.
Nguyễn Nhật Ánh - Cho Tôi Xin Một Vé Đi Tuổi Thơ - Phiên Bản Đặc Biệt;SKU: 8934974173069;Loại sản phẩm: Nhóm Sách Tuổi Teen;455,700₫;;NXB Trẻ;2021;Nguyễn Nhật Ánh;880;24 x 19 cm;197;Bìa Cứng;Truyện CHO TÔI XIN MỘT VÉ ĐI TUỔI THƠ là một trong những tác phẩm bán chạy nhất của nhà văn Nguyễn Nhật Ánh. Nhà văn mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ, cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình. Tác phẩm đạt giải thưởng văn học Asean 2010 . Cho tôi xin một vé đi tuổi thơ đã được chuyển ngữ sang nhiều thứ tiếng như Tiếng Anh, Nhật, Hàn, Thái và phát hành tại nhiều nước thế giới. “Một câu chuyện ngụ ngôn làm say lòng người lớn và trẻ em. Cho tôi xin một vé đi tuổi thơ sẽ chiếm cảm tình của độc giả Mỹ” - Amazon. “Tác phẩm đầy mê hoặc này - gợi nhớ đến Hoàng tử bé của Saint-Exupery – đã khắc họa một cách tài tình sự đa cảm của tuổi thơ đối lập với những phi lý của thế giới người lớn” - Publishers Weekly
Hành Khúc Giải Phóng;SKU: 8934974099970;Loại sản phẩm: SÁCH;432,000₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2011;Lư Nhất Vũ;;19 x 26;1428;Bìa Mềm;Quyển sách tập hợp 581 ca khúc – Một lời nguyền giải phóng miền Nam và 54 bài hồi ức của các văn nghệ sĩ … phản ánh chân thực và sinh động cuộc sống và chiến đấu của dân tộc - Những hình ảnh không thể nào khép lại hoặc cất đi được. Quyển sách tập hợp 581 ca khúc – Một lời nguyền giải phóng miền Nam và 54 bài hồi ức của các văn nghệ sĩ … phản ánh chân thực và sinh động cuộc sống và chiến đấu của dân tộc - Những hình ảnh không thể nào khép lại hoặc cất đi được. Ấn phẩm chào mừng ĐẠI HỘI ĐẢNG TOÀN QUỐC LẦN THỨ XI Sách thuộc kho sách cũ, sách tồn kho, không đổi trả. Khách hàng vui lòng cân nhắc trước khi mua.
Bộ Sách Kết Tinh Một Đời - 3 Cuốn;SKU: 8934974164920;Loại sản phẩm: SÁCH;459,000₫;;NXB Trẻ;2019;GS Phan Văn Trường;1000;;;Bộ Hộp;Bộ Sách Kết Tinh Một Đời (Bộ 3 Cuốn) Giáo sư Phan Văn Trường là cố vấn thường trực của Chính phủ Cộng hòa Pháp về thương mại quốc tế từ thập niên 1990. Ông hai lần được Tổng thống Pháp phong Hiệp Sĩ (Đài Ghi công – 1990, Bắc Đẩu Bội Tinh – 2006), và Chủ tịch nước Cộng hòa Xã hội Chủ nghĩa Việt Nam tặng huy chương “Vì sự nghiệp giáo dục” (2010). Quyển sách đầu tay Một đời thương thuyết của ông đã được vinh danh với Giải Sách hay 2016 , hạng mục sách Quản trị. Các sách của ông đều được tái bản nhiều lần và được bạn đọc đón nhận nồng nhiệt. 1. Một đời thương thuyết Hơn 40 năm kinh nghiệm trong nghề và cả nghiệp thương thuyết, Giáo sư Phan Văn Trường, Cố vấn thương mại quốc tế của chính phủ Pháp, có lẽ đã cố gắng thể hiện gần trọn vẹn trong cuốn sách này. Được viết từ trải nghiệm của một người thường xuyên “xông pha trận mạc” đàm phán, thật khó có thể tìm được cuốn sách nào khác về đề tài này mang tính thực tế cao hơn Một đời thương thuyết. Trong đó không có những bài lý thuyết theo lớp lang chuẩn mực, nhưng độc giả sẽ được “sống” thực sự trong từng bối cảnh đàm phán như đang diễn ra trước mắt. Và độc giả sẽ đọc cuốn sách này chẳng khác gì đang đọc một tập truyện ngắn đầy những tình tiết thú vị. 2. Một đời quản trị Cuốn sách là nhật ký, là tâm sức cả đời của Giáo sư Phan Văn Trường. Trong quyển sách này, ông đem đến cho độc giả những vấn đề sau. Phần lớn doanh nhân nhầm lẫn giữa quản lý và quản trị. Vậy nhà lãnh đạo quản trị Doanh nghiệp như thế nào, họ phải làm gì… Làm thế nào để xây dựng doanh nghiệp trường tồn Quản trị doanh nghiệp chính là quản trị con người Có lẽ những điều trên bạn đã gặp ở rất nhiều cuốn sách nhưng ở đây có 2 điều khác biệt: Là bài học thực tế, là tinh túy của một doanh nhân tầm cỡ Global Hành xử chuyên nghiệp, quyết định sáng suốt, thành công lớn…ở tầm Global nhưng vẫn mang đậm chất Việt, đậm chất nhân văn. Và đặc biệt những câu chuyện của ông, những bài học của ông lại được kể bằng những con người thực ông đã cùng làm việc, bằng những câu chuyện thực của đời mình. 3. Một đời như kẻ tìm đường Hai cuốn sách trước của Giáo sư Phan Văn Trường, Một đời thương thuyết và Một đời quản trị , là sự chắt lọc từ những trải nghiệm trong suốt nhiều năm tháng nghề nghiệp của bản thân. Tuy nhiên, đến với cuốn sách này, tác giả lại muốn dành một khoảng không gian riêng để có thể phản ảnh những cảm nhận cá nhân về cuộc sống, với góc nhìn từ những năm tháng tuổi trẻ cho đến độ tuổi xế chiều này. Việc lựa chọn tất nhiên đòi hỏi nhiều sáng suốt, nhưng trên hết người lựa chọn phải hiểu rõ thế giới mà mình đang sống và biết rõ chính mình muốn gì, và một mặt khác phải sẵn sàng cáng đáng lấy trách nhiệm trong sự lựa chọn. Nói một cách hoa mỹ hơn, mình chỉ tìm ra hướng đi đúng đắn và phù hợp cho bản thân nếu thấu hiểu rõ bản năng, bản ngã và cả tiềm thức của chính mình. Cùng một tinh thần luôn sẵn sàng đối mặt với những hệ quả tốt và xấu từ sự lựa chọn ấy.
Harry Potter Và Bảo Bối Tử Thần - Tập 7;SKU: 8934974179641;Loại sản phẩm: sách;256,500₫;;NXB Trẻ;2022;J K Rowling;700;20 x 14 cm;846;Bìa Mềm;Harry Potter Và Bảo Bối Tử Thần - Tập 7 (Tái Bản 2017) Harry Potter đang chuẩn bị rời khỏi nhà Dursley và đường Privet Drive trong thời khắc cuối cùng. Tuy nhiên, tương lai Harry đầy rẫy hiểm nguy, không chỉ cho cậu mà cả những người gần gũi – và Harry đã mất mát quá nhiều. Chỉ bằng cách tiêu hủy những Trường Sinh Linh Giá, Harry Potter mới có thể tự cứu mình và vượt qua những thế lực đen tối của Chúa tể hắc ám. Ở phần kết đầy kịch tính của loạt truyện Harry Potter này, Harry phải để những người bạn trung thành nhất ở lại tuyến sau để dấn thân vào cuộc hành trình nguy hiểm cuối cùng hòng tìm kiếm sức mạnh và đối mặt với số phận đáng sợ của cậu: một cuộc chiến sinh tử và đơn độc. ‘Điều hay nhất ở cuốn sách này là cuối cùng nó cũng trả lời các câu hỏi mà chúng ta khao khát được biết.’ - Daily Mirror
Harry Potter Và Phòng Chứa Bí Mật - Tập 2 (Bản Đặc Biệt Có Tranh Minh Họa Màu);SKU: 8934974146094;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;539,000₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;J. K. Rowling;;;;;Vào năm học thứ 2 tại trường Hogwarts, Harry và các bạn tiếp tục đối mặt với những bài học thú vị mới và những bí mật mới. Người kế vị Slytherin đã gây ra nỗi kinh hoàng trong trường, với lời đồn đại về căn phòng chứa bí mật. Harry Potter Và Phòng Chứa Bí Mật Vào năm học thứ 2 tại trường Hogwarts, Harry và các bạn tiếp tục đối mặt với những bài học thú vị mới và những bí mật mới. Người kế vị Slytherin đã gây ra nỗi kinh hoàng trong trường, với lời đồn đại về căn phòng chứa bí mật. Cuộc phiêu lưu của Harry và hai người bạn, Ron và Hermione, hấp dẫn hơn bao giờ hết nhờ minh họa sống động của họa sĩ Jim Kay. Harry Potter và Phòng chứa bí mật là tập 2 trong bộ sách Harry Potter với phiên bản có tranh minh họa.
Harry Potter Hành Trình Xuyên Lịch Sử Pháp Thuật;SKU: 8934974157786;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;286,160₫;;NXB Trẻ;2018;Thư Viện Anh;200;25 x 25;144;Bìa Mềm;Harry Potter Hành Trình Xuyên Lịch Sử Pháp Thuật 20 năm đã trôi qua kể từ ngày tập đầu tiên – Harry Potter và Hòn đá phù thủy – được phát hành, và chiếm trọn trái tim hàng triệu bạn đọc trên toàn thế giới. Nhân dịp kỷ niệm ấy, British Library (Thư viện Anh quốc) tổ chức một cuộc triển lãm độc đáo và thú vị, trưng bày các hiện vật cổ kim có liên quan đến tác phẩm Harry Potter. Cuốn sách này giới thiệu về những hiện vật triển lãm ấy kèm trích đoạn Harry Potter có liên quan, và những hình vẽ tuyệt đẹp của Jim Kay – họa sĩ cho bộ Harry Potter bản có minh họa màu. Sách được viết giản dị, kèm nhiều hoạt động “phép thuật vui” tự làm, hướng đến đối tượng thiếu nhi. Đặc biệt hơn nữa là những trang bản thảo chưa từng ra mắt công chúng của tác giả J.K. Rowling. Nếu bạn đã từng muốn một lần sống trong thế giới của Harry, đây là quyển sách cho bạn một lần nữa có được cảm giác đó, cùng với con em mình. Viên sỏi dê mà Harry cho Ron nuốt chữa độc, liệu có thật không nhỉ? Tại sao hình ảnh bà phù thủy cứ gắn với cái vạc thuốc bốc hơi? Công thức chế tạo Hòn đá phù thủy là gì? Người xưa nghĩ về rồng, kỳ mã, người cá và tử xà ra sao…?
Vắng Mặt - Bản Đặc Biệt;SKU: 8934974182382;Loại sản phẩm: SÁCH;265,500₫;;NXB Trẻ;2022;Đỗ Phấn;300;23 x 15.5 cm;288;Bìa Mềm;“Sự vắng mặt kinh khủng nhất không phải là sự vắng mặt trong đám đông mà là vắng mặt ngay trong chính bản thân mình”… “Vắng mặt” là nỗi niềm của “những người như chúng mình ngày một thêm vắng mặt ở ngay chính nơi mình sinh ra và lớn lên, ở ngay chính những công việc mà mình được đào tạo”, ở đó “cô đơn vẫn thường hiện diện”. Tác phẩm “Vắng mặt” là câu chuyện của họa sỹ Vũ với những trải nghiệm trong quãng đời tươi đẹp của mình nhưng cũng là trăn trở đau đáu về cuộc sống xung quanh. Những nhân vật trong truyện của Đỗ Phấn toàn là công chức, đàn bà, với đủ phận đời, phận người mà cuối cùng, chẳng có ai sung sướng hơn ai. Bao trùm lên trên tất cả những phố phường và các câu chuyện đô thị, những cuộc tình với thiếu nữ với đàn bà, những phi vụ bạc triệu bạc tỉ… là một nỗi day dứt xót xa, ê chề. Vì chính sự vắng mặt của những thứ gì mơ hồ hay dễ gọi tên… Vắng mặt là tiểu thuyết đầu tay của nhà văn - họa sĩ Đỗ Phấn.
Bộ Sách Những Giá Trị Vượt Thời Gian - Ấn Bản Hoài Cổ - Bộ 3 Cuốn;SKU: 8934974184546;Loại sản phẩm: SÁCH;261,000₫;;NXB Trẻ;2023;Thu Giang Nguyễn Duy Cần;700;23 x 15.5 cm;600;Bìa Mềm;Bộ sách gồm 3 cuốn: 1. TS Thu Giang - Cái dũng của Thánh nhân (ấn bản hoài cổ) Quan niệm cái “Dũng” của tác giả Thu Giang không phải là cái dũng cơ bắp, cái dũng sức mạnh hay cái dũng thấy chuyện bất bình giữa đường ra tay nghĩa hiệp. Cái dũng của thánh nhân đề cập ở đây là cái dũng về sự chiến thắng bản thân, chiến thắng sự nhỏ nhen ích kỷ để mong cầu một cái dũng thật sự mạnh mẽ xuất phát từ nội tâm, ái dũng siêu thoát khỏi những ràng buộc yếu hèn với thế giới vật chất. Cái dũng ở đây bàn đến cách ứng xử của con người trong xã hội và các phương pháp tu dưỡng để đạt đến một tinh thần điềm đạm, an nhiên trước mọi hoàn cảnh khó khăn sóng gió của cuộc đời. Nội dung của nó không chỉ kể về những câu chuyện kể về sự dũng cảm của người xưa mà còn bàn phương pháp cụ thể để rèn luyện đến một tinh thần điềm đạm. Do đó, cuốn cẩm nang này cần được đem ứng dụng vào chính bản thân mỗi người và đời sống hàng ngày. 2. TS Thu Giang - Một nghệ thuật sống (ấn bản hoài cổ) Tác phẩm Một nghệ thuật sống nêu lên những quan niệm về cuộc sống và cách sống: sống là gì, lẽ sống của con người, nhận biết chân giá trị của sự vật, hành động để giải thoát… Tác giả không tập trung khai thác, phân tích tâm lý con người như những sách nghệ thuật sống, rèn luyện nhân cách phổ biến hiện nay. Ông cũng không lên gân, dạy dỗ phải làm điều này điều nọ để có được hạnh phúc trong cuộc sống. Tác giả hướng người đọc đến việc nhận thức được giá trị sự vật như nó vốn có, hiểu được bản ngã của mình để hành động phù hợp với hoàn cảnh. Để trở nên một con người hoàn tòan, theo tác giả, con người cần phải làm hai điều: cải tạo cá nhân và cải tạo xã hội. Đây cũng là chủ đề xuyên suốt trong các chương của cuốn sách. 3. TS Thu Giang - Thuật xử thế của người xưa (ấn bản hoài cổ) Thuật xử thế của người xưa thông qua những điển tích Trung Hoa để rút ra những bài học uyên thâm và đầy ngụ ý, nhằm hướng người đọc đến những giá trị chân thiện mỹ, góp phần giáo dục đạo đức lối sống của thanh niên. Trong xã hội hiện đại, con người mải mê chạy theo những giá trị vật chất mà bỏ quên mất việc tu dưỡng đạo đức, lối sống. Xã hội càng phát triển bao nhiêu thì đạo đức xã hội lại càng băng hoại đi bấy nhiêu. Vì vậy, những câu chuyện trong Thuật xử thế của người xưa tuy đã trải qua hàng vạn năm nhưng vẫn còn vẹn nguyên giá trị đức dục. Cuốn sách góp phần định hướng người đọc đến các giá trị chân thiện mỹ trong cuộc sống.
Nếp Cũ - Hội Hè Đình Đám;SKU: 8934974186007;Loại sản phẩm: Sách;261,000₫;;;;;;;;;"Nếp Cũ - Hội Hè Đình Đám Với bộ sách Nếp cũ gồm: Con người Việt Nam; Tín ngưỡng Việt Nam; Làng xóm Việt Nam; Hộ hè đình đám của tác giả Toan Ánh, Nhà xuất bản Trẻ mong được cung cấp cho người đọc những hiểu biết cần thiết về cội nguồn của dân tộc, về những phong tục, tập quán, lễ nghĩa phong hóa xưa nay của ông cha ta. Biết những điều tốt đẹp, nhận chân giá trị đích thực những gì thuộc về văn hóa cổ truyền, những cái hay, cái lạ của ông cha từ thời mở nước và giữ nước đặng gìn giữ những vốn quý hay, lạ, hợp lẽ đời, để đối nhân xử thế đầy nhân hậu, yêu thương và đồng cảm giữa người với người trên quê hương Việt Nam. Với tác phẩm Nếp cũ - Hội hè đình đám, tác giả đã đưa chúng ta đến với những hội hè đình đám mang đậm dân tộc tính. Những hội hè đình đám đã từng mua vui cho người dân, đã từng chứng tỏ ý niệm thiêng liêng tôn giáo của người dân qua nghi lễ, đã từng nêu cao lòng biết ơn của người dân đối với các bậc anh hùng đất nước cũng như đối với các vị thần linh, nhất là các vị Thành hoàng đã che chở phù hộ cho dân mỗi xã, và nhất là đã từng là những dịp để người dân ôn lại lễ nghi, nhớ lại phong tục. Nếp cũ - Hội hè đình đám là một tác phẩm biên khảo có giá trong việc giữ gìn truyền thống, nét đẹp văn hóa của dân tộc Việt Nam với những lễ nghi, phong tục tự ngàn đời mà tổ tiên đã để lại cho con cháu."
90 Chân Dung Văn Hóa Văn Chương Việt;SKU: 8934974173915;Loại sản phẩm: SÁCH;265,500₫;;NXB Trẻ;2021;Phong Lê;900;24 x 16 cm;816;Bìa Mềm;"Giới thiệu 90 con người – trong một tập sách ngàn trang, trước hết với GS. Phong Lê là điểm lại chân dung những đối tượng mà ông được nghiên cứu: đọc, học, khảo sát trong suốt hành trình nghề nghiệp gần 60 năm của mình. Từ những tên tuổi làm nên bước chuyển động lớn trong văn học trung đại, kể từ Chu Văn An, Lê Thánh Tông, Nguyễn Bỉnh Khiêm,… cho tới Nguyễn Du, Nguyễn Công Trứ, Cao Bát Quát,… còn lại phần lớn là những tên tuổi làm nên gương mặt thế kỷ XX khi văn hóa-văn học Việt Nam chuyển mình vào quỹ đạo hiện đại. Người từ trăm năm về qua tuyển tập này không chỉ mang lại một cái nhìn thấu suốt về hành trình văn hóa của dân tộc và còn hầu giúp người đọc mở ra một chân trời của tự do, của sáng tạọ, của khát vọng sự thật và cái đẹp. --- --- ""Cuốn sách là một cuộc gặp gỡ lớn của các tài tử văn nhân, một kỳ ngộ, một cuộc trình diện, một đại hội hoa đăng tưng bừng của một thời kỳ lịch sử vẻ vang của văn chương văn hóa nước nhà. Và quan trọng, góp một tiếng nói định vị giá trị của mỗi cá nhân tên tuổi trong dòng chẩy của văn học văn hóa, một việc làm khó khăn, đòi hỏi một năng lực lớn cùng sự dũng cảm và tự tin."" (Ma Văn Kháng) GS. Phong Lê là nhà nghiên cứu, phê bình văn học Việt Nam hiện đại, nguyên là Viện trưởng Viện Văn học."
Thu Giang Nguyễn Duy Cần - Lão Tử Tinh Hoa - Lão Tử Đạo Đức Kinh;SKU: 8934974163862;Loại sản phẩm: Sách;240,000₫;;NXB Trẻ;2019;Thu Giang Nguyễn Duy Cần;500;15.5 x 23 cm;455;Bìa Mềm;Sách trình bày những tinh hoa của học thuyết Vô Vi của Lão Tử, dịch và bình chú tác phẩm Đạo Đức kinh của Lão Tử, giúp người đọc lĩnh hội Đạo Đức kinh một cách có hệ thống những tinh hoa ẩn chứa trong nền học thuật lớn của triết học cổ Trung Hoa.
Dịch Học Tinh Hoa - Chu Dịch Huyền Giải;SKU: 8934974163855;Loại sản phẩm: Nhóm Sách Phong Thủy - Kinh Dịch;294,000₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Thu Giang Nguyễn Duy Cần;760;15 x 23;460;Bìa Cứng;Sách trình bày những tinh hoa căn bản nhất của bộ kinh Chu Dịch, giúp cho những người mới học kinh Dịch, những người muốn tìm hiểu kinh Dịch có một sự hiểu biết cơ bản để đi sâu vào sự học hỏi và nghiên cứu kinh Dịch. Sách trình bày những tinh hoa căn bản nhất của bộ kinh Chu Dịch, giúp cho những người mới học kinh Dịch, những người muốn tìm hiểu kinh Dịch có một sự hiểu biết cơ bản để đi sâu vào sự học hỏi và nghiên cứu kinh Dịch.
Ajin - BoxSet Số 2 - Tập 7 Đến Tập 12;SKU: 8934974178996;Loại sản phẩm: SÁCH;270,000₫;;NXB Trẻ;2020;Sakurai Gamon;1100;18.2 x 13 x 9.2 cm;208;Bộ Hộp;"Ajin - BoxSet Số 2 AJIN kể về một câu chuyện ly kỳ, hấp dẫn: 17 năm trước, lần đầu tiên một giống loài bất tử được phát hiện trên chiến trường ở châu Phi. Từ đó, người ta biết đến sự tồn tại của một chủng sinh vật bất tử, gọi là ""Ajin"" (Á nhân). Trước nghỉ hè, một học sinh cấp 3 đi học về bị tai nạn giao thông lẽ ra đã chết nhưng đột nhiên lại sống dậy. Từ đó, cậu liền trở thành đối tượng truy lùng của những kẻ săn tiền thưởng, bắt đầu cuộc đào thoát ly kỳ khỏi sự săn đuổi của toàn nhân loại. Với lần phát hành mới, truyện sẽ ra mắt với phiên bản boxset có tặng kèm bookmark: - Boxset số 2: bao gồm các tập từ 7 đến 12 Đặc biệt, các boxset được thiết kế đẹp mắt. Khi ghép các boxset số 1, 2 và 3 bạn đọc sẽ có một ảnh AJIN cực ngầu!!!"
Những Quy Luật Của Bản Chất Con Người;SKU: 8934974168010;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;255,000₫;;;;;;;;;"Những Quy Luật Của Bản Chất Con Người Robert Greene, tác giả rất được ưa chuộng do New York Times bình chọn của các tác phẩm 48 nguyên tắc chủ chốt của quyền lực; 33 chiến lược của chiến tranh; Nghệ thuật quyến rũ; Nguyên tắc 50 - không sợ hãi; Làm chủ bản thân đã được nhà xuất bản Trẻ lần lượt xuất bản, và nhận được sự ủng hộ nhiệt tình của bạn đọc. Vẫn sử dụng thủ pháp luận cổ suy kim, trong tác phẩm mới nhất của mình, Những quy luật của bản chất con người, ông chuyển sang chủ đề hệ trọng nhất – thấu hiểu những thôi thúc và động cơ của mọi người, thậm chí cả khi họ không ý thức về chính mình. Trong cuốn sách này, Robert Greene tìm cách… biến độc giả thành một ‘quan sát viên điềm tĩnh hơn và có đầu óc chiến lược hơn’, miễn nhiễm với ‘bi kịch cảm xúc’. Đó là những hứa hẹn khá cao, nhưng ngay cả những kẻ hoài nghi cũng sẽ trở thành những người tin tưởng sau khi đọc kỹ tác phẩm chỉnh chu của ông. Việc vượt qua ‘quy luật của sự thiếu sáng suốt’, chẳng hạn, dẫn tới khả năng ‘mở rộng tâm trí bạn ra trước những gì thật sự đang diễn ra, trái hẳn với những gì bạn cảm thấy’. Điều tra thận trọng của Robert Greene về cái tôi và xã hội sẽ mang tới cho độc giả trung thành một quan điểm mới mẻ và tràn đầy sức sống."
Ajin - BoxSet Số 1 - Tập 1 Đến Tập 6;SKU: 8934974178163;Loại sản phẩm: SÁCH;240,000₫;;NXB Trẻ;2020;Sakurai Gamon;1100;18.2 x 13 x 9.2 cm;208;Bộ Hộp;"Ajin - BoxSet Số 1 AJIN kể về một câu chuyện ly kỳ, hấp dẫn: 17 năm trước, lần đầu tiên một giống loài bất tử được phát hiện trên chiến trường ở châu Phi. Từ đó, người ta biết đến sự tồn tại của một chủng sinh vật bất tử, gọi là ""Ajin"" (Á nhân). Trước nghỉ hè, một học sinh cấp 3 đi học về bị tai nạn giao thông lẽ ra đã chết nhưng đột nhiên lại sống dậy. Từ đó, cậu liền trở thành đối tượng truy lùng của những kẻ săn tiền thưởng, bắt đầu cuộc đào thoát ly kỳ khỏi sự săn đuổi của toàn nhân loại. Với lần phát hành mới, truyện sẽ ra mắt với phiên bản boxset có tặng kèm bookmark: - Boxset số 1: bao gồm các tập từ 1 đến 6 Đặc biệt, các boxset được thiết kế đẹp mắt. Khi ghép các boxset số 1, 2 và 3 bạn đọc sẽ có một ảnh AJIN cực ngầu!!!"
